seed,adapt_regime,probe_id,input_overlap,hidden_overlap,collapse_step,collapsed
5100,A1,2,-0.7629849314689636,0.3699755370616913,5,1
5100,A1,3,-0.9861164093017578,0.3418048024177551,36,0
5100,A1,4,-0.9405578374862671,0.3186933398246765,36,0
5100,A1,5,-0.9727626442909241,0.3196507394313812,36,0
5100,A1,6,-0.8147087097167969,0.31632745265960693,36,0
5100,A1,10,-0.9861164093017578,0.3618679642677307,36,0
5100,A1,11,-0.9209667444229126,0.3292185366153717,36,0
5100,A1,12,-0.8147087097167969,0.32634246349334717,36,0
5100,A1,13,-0.45922037959098816,0.47579044103622437,36,0
5100,A1,17,-0.9861164093017578,0.36866429448127747,36,0
5100,A1,18,-0.8147087097167969,0.3348607122898102,36,0
5100,A1,19,0.1672317236661911,0.7005269527435303,36,0
5100,A1,20,0.06240337714552879,0.6633562445640564,36,0
5100,A1,25,0.2916511297225952,0.8126036524772644,36,0
5100,A1,26,0.29062873125076294,0.780621349811554,36,0
5100,A1,27,0.33834365010261536,0.7565685510635376,36,0
5100,A1,28,0.10928677022457123,0.6631300449371338,5,1
5100,A1,29,0.3979177474975586,0.7579324245452881,20,1
5100,A1,30,0.8147087097167969,0.9116632342338562,36,0
5100,A1,31,0.999779462814331,0.998798131942749,30,1
5100,A1,32,0.5798704624176025,0.9111521244049072,36,0
5100,A1,33,0.15818855166435242,0.7995015382766724,36,0
5100,A1,34,0.027393098920583725,0.754421591758728,36,0
5100,A1,35,0.45922037959098816,0.7829386591911316,30,1
5100,A1,36,0.8147087097167969,0.9123948812484741,36,0
5100,A1,37,0.9971445798873901,0.9942781925201416,35,1
5100,A1,38,0.9988375902175903,0.999670684337616,35,1
5100,A1,39,0.9661437273025513,0.988070547580719,36,0
5100,A1,40,0.5798704624176025,0.9125367999076843,36,0
5100,A1,41,0.003248576307669282,0.7885439395904541,36,0
5100,A1,42,0.8147087097167969,0.913933277130127,36,0
5100,A1,43,0.989727258682251,0.9805228114128113,36,0
5100,A1,44,0.9749829769134521,0.991947591304779,35,1
5100,A1,45,0.9999997019767761,0.9987486004829407,35,1
5100,A1,46,0.9990809559822083,0.9956241250038147,36,0
5100,A1,47,0.9258671998977661,0.9757030606269836,36,0
5100,A1,48,0.5798704624176025,0.9129824042320251,36,0
5100,A2,2,0.4502986669540405,0.7900338172912598,5,1
5100,A2,3,-0.06889526546001434,0.6350348591804504,36,0
5100,A2,4,-0.5499509572982788,0.44535699486732483,36,0
5100,A2,5,-0.45262736082077026,0.4193333387374878,36,0
5100,A2,6,-0.7541429400444031,0.327269047498703,36,0
5100,A2,10,-0.06889526546001434,0.6478034257888794,36,0
5100,A2,11,-0.5939984917640686,0.42535558342933655,36,0
5100,A2,12,-0.7541429400444031,0.3479883670806885,36,0
5100,A2,13,-0.9710187911987305,0.3112567365169525,36,0
5100,A2,17,-0.06889526546001434,0.6512090563774109,36,0
5100,A2,18,-0.7541429400444031,0.36536556482315063,36,0
5100,A2,19,-0.9195747375488281,0.39295074343681335,36,0
5100,A2,20,-0.9558602571487427,0.3851602077484131,36,0
5100,A2,25,-0.8619307279586792,0.4156632125377655,36,0
5100,A2,26,-0.8624720573425293,0.38538122177124023,36,0
5100,A2,27,-0.8359501361846924,0.40249350666999817,36,0
5100,A2,28,0.9920381307601929,0.9930084347724915,5,1
5100,A2,29,0.9849921464920044,0.982319176197052,15,1
5100,A2,30,0.7541429400444031,0.85310298204422,36,0
5100,A2,31,0.2539694607257843,0.6889558434486389,36,0
5100,A2,32,-0.6567102670669556,0.4632055163383484,36,0
5100,A2,33,-0.9231373071670532,0.38743841648101807,36,0
5100,A2,34,-0.9655689001083374,0.36128708720207214,36,0
5100,A2,35,0.9710187911987305,0.9670435786247253,25,1
5100,A2,36,0.7541429400444031,0.852200984954834,36,0
5100,A2,37,0.3063606023788452,0.7204486131668091,36,0
5100,A2,38,0.1864597052335739,0.6611230969429016,36,0
5100,A2,39,-0.02517533488571644,0.5935552716255188,36,0
5100,A2,40,-0.6567102670669556,0.4535714387893677,36,0
5100,A2,41,-0.9715688228607178,0.3669419586658478,36,0
5100,A2,42,0.7541429400444031,0.84864342212677,36,0
5100,A2,43,0.37021344900131226,0.7445175051689148,36,0
5100,A2,44,0.011626442894339561,0.6503639221191406,36,0
5100,A2,45,0.2343260794878006,0.6610122919082642,36,0
5100,A2,46,0.1917089968919754,0.622683584690094,36,0
5100,A2,47,-0.1511128693819046,0.5500040650367737,36,0
5100,A2,48,-0.6567102670669556,0.4412536323070526,36,0
5100,A3,2,-0.8402596116065979,0.45103156566619873,5,1
5100,A3,3,-0.4454818069934845,0.5802554488182068,35,1
5100,A3,4,0.05162033438682556,0.6642867922782898,36,0
5100,A3,5,-0.06091495230793953,0.6786407828330994,36,0
5100,A3,6,0.3180631399154663,0.7011519074440002,36,0
5100,A3,10,-0.4454818069934845,0.5825465321540833,36,0
5100,A3,11,0.10516306757926941,0.674675464630127,36,0
5100,A3,12,0.3180631399154663,0.6983221173286438,36,0
5100,A3,13,0.7165160775184631,0.8591408729553223,36,0
5100,A3,17,-0.4454818069934845,0.5823058485984802,36,0
5100,A3,18,0.3180631399154663,0.6936981081962585,36,0
5100,A3,19,0.9919636845588684,0.9837242960929871,30,1
5100,A3,20,0.9731071591377258,0.9703600406646729,36,0
5100,A3,25,0.9999994039535522,0.9978434443473816,35,1
5100,A3,26,0.9999999403953552,1.0000001192092896,35,1
5100,A3,27,0.9987365007400513,0.9951056838035583,30,1
5100,A3,28,-0.9193428158760071,0.35319188237190247,5,1
5100,A3,29,-0.7621750831604004,0.42705199122428894,35,1
5100,A3,30,-0.3180631399154663,0.5822066068649292,36,0
5100,A3,31,0.27046898007392883,0.7894551157951355,35,1
5100,A3,32,0.9480695724487305,0.9500223398208618,36,0
5100,A3,33,0.99076247215271,0.9965205788612366,36,0
5100,A3,34,0.9644380807876587,0.9922454357147217,36,0
5100,A3,35,-0.7165160775184631,0.4293924868106842,36,0
5100,A3,36,-0.3180631399154663,0.5672323107719421,36,0
5100,A3,37,0.2175413817167282,0.7269160747528076,36,0
5100,A3,38,0.33641254901885986,0.7828755378723145,36,0
5100,A3,39,0.5276572704315186,0.8480934500694275,36,0
5100,A3,40,0.9480695724487305,0.9472700953483582,36,0
5100,A3,41,0.9577749371528625,0.9873854517936707,36,0
5100,A3,42,-0.3180631399154663,0.5551573634147644,36,0
5100,A3,43,0.15084543824195862,0.6693837642669678,36,0
5100,A3,44,0.496042937040329,0.7461323738098145,36,0
5100,A3,45,0.28991398215293884,0.7647867798805237,36,0
5100,A3,46,0.3313736617565155,0.8001559376716614,36,0
5100,A3,47,0.6306234002113342,0.8695735335350037,36,0
5100,A3,48,0.9480695724487305,0.9426432847976685,36,0
